Aa,127186,124,0.05
Aab,134037,116,0.04
Aaberg,40465,509,0.19
Aaby,82019,214,0.08
Aadland,55376,347,0.13
Aafedt,116835,138,0.05
Aagaard,63812,292,0.11
Aagard,66476,278,0.1
Aagesen,104819,158,0.06
Aaker,52289,373,0.14
Aakhus,126400,125,0.05
Aakre,55849,343,0.13
Aaland,125639,126,0.05
Aalbers,98770,170,0.06
Aalderink,135837,114,0.04
Aalfs,120330,133,0.05
Aalgaard,112365,145,0.05
Aalto,74164,243,0.09
Aamodt,29142,766,0.28
Aamold,86992,199,0.07
Aamot,70473,259,0.1
Aamoth,149328,101,0.04
Aanderud,108153,152,0.06
Aanenson,61713,304,0.11
Aanerud,74164,243,0.09
Aanestad,103706,160,0.06
Aanonsen,100663,166,0.06
Aardal,147095,103,0.04
Aardema,51119,383,0.14
Aardsma,135837,114,0.04
Aarestad,104819,158,0.06
Aarhus,73931,244,0.09
Aaron,2236,14904,5.52
Aarons,23863,988,0.37
Aaronson,20871,1176,0.44
Aarris,139757,110,0.04
Aarstad,99214,169,0.06
Aarsvold,109328,150,0.06
Aarts,141788,108,0.04
Aas,69428,264,0.1
Aasand,149328,101,0.04
Aase,38263,544,0.2
Aasen,21791,1113,0.41
Aasheim,91404,187,0.07
Aasland,103706,160,0.06
Aasness,149328,101,0.04
Ab,143847,106,0.04
Aba,134037,116,0.04
Abad,6523,4795,1.78
Abadi,40690,506,0.19
Abadia,53420,363,0.13
Abadie,18165,1413,0.52
Abadilla,56826,336,0.12
Abadir,107038,154,0.06
Abady,112967,144,0.05
Abair,35187,606,0.22
Abajian,50686,387,0.14
Abalo,121780,131,0.05
Abalos,13658,2037,0.76
Aban,77222,231,0.09
Abang,148244,102,0.04
Abano,121058,132,0.05
Abanto,63297,295,0.11
Abar,68360,269,0.1
Abara,114852,141,0.05
Abarbanel,143847,106,0.04
Abarca,5486,5830,2.16
Abare,31924,683,0.25
Abarno,130443,120,0.04
Abarquez,86657,200,0.07
Abarr,93006,183,0.07
Abas,79676,222,0.08
Abascal,45227,446,0.17
Abasolo,105374,157,0.06
Abass,111740,146,0.05
Abassi,113519,143,0.05
Abasta,74164,243,0.09
Abat,109328,150,0.06
Abata,127948,123,0.05
Abatangelo,141788,108,0.04
Abate,7905,3885,1.44
Abatecola,142819,107,0.04
Abatemarco,86992,199,0.07
Abati,146011,104,0.04
Abato,71372,255,0.09
Abaunza,70273,260,0.1
Abawi,139757,110,0.04
Abay,73412,246,0.09
Abaya,45482,443,0.16
Abayev,84631,206,0.08
Abaza,116123,139,0.05
Abb,126400,125,0.05
Abba,78838,225,0.08
Abbadessa,87729,197,0.07
Abbamonte,96480,175,0.06
Abban,120330,133,0.05
Abbarno,144908,105,0.04
Abbas,9348,3199,1.19
Abbasi,16444,1611,0.6
Abbass,131366,119,0.04
Abbassi,58999,321,0.12
Abbate,10923,2673,0.99
Abbatemarco,124872,127,0.05
Abbatiello,31339,699,0.26
Abbatoy,149328,101,0.04
Abbattista,127186,124,0.05
Abbazia,144908,105,0.04
Abbe,18938,1333,0.49
Abben,135837,114,0.04
Abbenante,109915,149,0.06
Abbene,83004,211,0.08
Abbett,35860,592,0.22
Abbey,6281,4994,1.85
Abbinante,89549,192,0.07
Abbinanti,76946,232,0.09
Abbington,116835,138,0.05
Abbink,134929,115,0.04
Abbitt,34757,615,0.23
Abbo,54020,358,0.13
Abbondandolo,132259,118,0.04
Abbondanza,65668,282,0.1
Abbonizio,99725,168,0.06
Abbot,26306,873,0.32
Abbott,588,51620,19.14
Abbotts,103193,161,0.06
Abboud,20468,1205,0.45
Abbruscato,80812,218,0.08
Abbruzzese,29932,740,0.27
Abbruzzi,138741,111,0.04
Abbs,38464,541,0.2
Abbuhl,70052,261,0.1
Abby,56526,338,0.13
Abcede,137816,112,0.04
Abdala,67113,275,0.1
Abdali,142819,107,0.04
Abdalla,14713,1852,0.69
Abdallah,10221,2894,1.07
Abdeen,143847,106,0.04
Abdel,70052,261,0.1
Abdelaal,104257,159,0.06
Abdelaziz,34399,623,0.23
Abdelfattah,60390,312,0.12
Abdelghani,96480,175,0.06
Abdelhadi,68360,269,0.1
Abdelhady,126400,125,0.05
Abdelhalim,133114,117,0.04
Abdelhamid,63812,292,0.11
Abdeljaber,100194,167,0.06
Abdeljawad,140756,109,0.04
Abdelkader,62577,299,0.11
Abdelkarim,137816,112,0.04
Abdella,36630,576,0.21
Abdellatif,55003,350,0.13
Abdelmalak,75695,237,0.09
Abdelmalek,60887,309,0.11
Abdelmessih,100663,166,0.06
Abdelnabi,143847,106,0.04
Abdelnour,48109,413,0.15
Abdelqader,77472,230,0.09
Abdelrahim,80812,218,0.08
Abdelrahman,34342,624,0.23
Abdelsalam,96033,176,0.07
Abdelsayed,85643,203,0.08
Abdelwahab,99725,168,0.06
Abdi,13364,2091,0.78
Abdill,123314,129,0.05
Abdin,78549,226,0.08
Abdirahman,84310,207,0.08
Abdo,15078,1795,0.67
Abdollahi,117538,137,0.05
Abdon,33830,635,0.24
Abdoo,71372,255,0.09
Abdool,75695,237,0.09
Abdou,40987,502,0.19
Abdow,109328,150,0.06
Abdu,91801,186,0.07
Abdul,17153,1525,0.57
Abdula,121780,131,0.05
Abdulah,142819,107,0.04
Abdulahad,95567,177,0.07
Abdulahi,84968,205,0.08
Abdulaziz,47120,424,0.16
Abdulghani,118236,136,0.05
Abdulhadi,101157,165,0.06
Abdulhakim,138741,111,0.04
Abdulhamid,147095,103,0.04
Abdulhaqq,101157,165,0.06
Abduljabbar,142819,107,0.04
Abdulkadir,70052,261,0.1
Abdulkareem,146011,104,0.04
Abdulkarim,55609,345,0.13
Abdulla,21323,1145,0.42
Abdullah,5460,5859,2.17
Abdullahi,33425,644,0.24
Abdullatif,103193,161,0.06
Abdulle,85297,204,0.08
Abdulmalik,64750,287,0.11
Abdulraheem,143847,106,0.04
Abdulrahim,69428,264,0.1
Abdulrahman,48293,411,0.15
Abdurahman,130443,120,0.04
Abdurakhmanov,134929,115,0.04
Abdurrahim,83965,208,0.08
Abdurrahman,50055,393,0.15
Abdussalaam,88461,195,0.07
Abe,9930,2998,1.11
Abea,124109,128,0.05
Abear,72466,250,0.09
Abebe,25610,905,0.34
Abecassis,118236,136,0.05
Abed,22427,1071,0.4
Abedi,50686,387,0.14
Abedin,71610,254,0.09
Abedrabbo,86341,201,0.07
Abee,30292,729,0.27
Abeel,96918,174,0.06
Abegg,64008,291,0.11
Abegglen,53904,359,0.13
Abeita,30516,722,0.27
Abeja,100663,166,0.06
Abel,1809,18243,6.76
Abela,42677,478,0.18
Abelar,65298,284,0.11
Abelard,101654,164,0.06
Abelardo,123314,129,0.05
Abele,16954,1547,0.57
Abeleda,124872,127,0.05
Abeles,49366,400,0.15
Abeling,87729,197,0.07
Abelino,142819,107,0.04
Abell,4731,6860,2.54
Abella,15154,1785,0.66
Abellana,89549,192,0.07
Abellar,132259,118,0.04
Abellard,102691,162,0.06
Abellera,46839,427,0.16
Abelli,149328,101,0.04
Abello,38706,537,0.2
Abelman,77742,229,0.08
Abeln,37480,559,0.21
Abelon,142819,107,0.04
Abelow,104819,158,0.06
Abels,16871,1557,0.58
Abelson,26694,858,0.32
Abely,132259,118,0.04
Aben,83618,209,0.08
Abenante,111119,147,0.05
Abend,37043,567,0.21
Abendano,120330,133,0.05
Abendroth,27744,816,0.3
Abendschein,88083,196,0.07
Abene,107038,154,0.06
Abenoja,129619,121,0.04
Abenojar,105905,156,0.06
Abens,103706,160,0.06
Aber,17846,1446,0.54
Abera,89895,191,0.07
Aberasturi,131366,119,0.04
Abercrombie,5274,6071,2.25
Aberdeen,109915,149,0.06
Aberegg,87348,198,0.07
Aberg,57252,333,0.12
Abergel,110523,148,0.05
Aberin,114166,142,0.05
Aberle,16635,1586,0.59
Aberman,78326,227,0.08
Abernathey,68569,268,0.1
Abernathy,2051,16194,6
Abernethy,11141,2612,0.97
Aberra,125639,126,0.05
Abers,84631,206,0.08
Abersold,104257,159,0.06
Aberson,103706,160,0.06
Abert,49563,398,0.15
Aberts,121058,132,0.05
Abes,109915,149,0.06
Abesamis,78838,225,0.08
Abete,149328,101,0.04
Abey,80216,220,0.08
Abeyta,5648,5635,2.09
Abeytia,142819,107,0.04
Abfall,142819,107,0.04
Abfalter,73412,246,0.09
Abhold,92217,185,0.07
Abhyankar,133114,117,0.04
Abicht,116123,139,0.05
Abid,33333,646,0.24
Abide,139757,110,0.04
Abidi,65492,283,0.1
Abiera,132259,118,0.04
Abila,22065,1094,0.41
Abild,131366,119,0.04
Abiles,77472,230,0.09
Abilez,83618,209,0.08
Abina,72237,251,0.09
Abinader,111740,146,0.05
Abing,85297,204,0.08
Abington,76946,232,0.09
Abiola,131366,119,0.04
Abitbol,97384,173,0.06
Abitia,88083,196,0.07
Abitz,41262,498,0.18
Abiuso,149328,101,0.04
Abiva,122534,130,0.05
Abkarian,136783,113,0.04
Abke,66274,279,0.1
Abla,78549,226,0.08
Ablan,88461,195,0.07
Ablang,126400,125,0.05
Ablao,142819,107,0.04
Ablaza,116835,138,0.05
Able,12107,2362,0.88
Ableidinger,117538,137,0.05
Ableman,58692,323,0.12
Abler,35621,597,0.22
Ables,6350,4935,1.83
Ablett,88461,195,0.07
Ablin,127948,123,0.05
Abling,129619,121,0.04
Ablog,149328,101,0.04
Ablondi,147095,103,0.04
Abma,97384,173,0.06
Abner,6223,5061,1.88
Abnet,136783,113,0.04
Abney,3355,9743,3.61
Abo,74675,241,0.09
Aboagye,77472,230,0.09
Abodeely,123314,129,0.05
Abolafia,96918,174,0.06
Abolins,133114,117,0.04
Abolt,116835,138,0.05
Abon,140756,109,0.04
Abonce,58130,327,0.12
Abonza,80812,218,0.08
Abood,30552,721,0.27
Abordo,78549,226,0.08
Aborn,66676,277,0.1
Abott,100663,166,0.06
Aboud,38464,541,0.2
Aboujaoude,114166,142,0.05
Aboulafia,137816,112,0.04
Aboulhosn,65298,284,0.11
Abounader,101654,164,0.06
Abouzeid,111119,147,0.05
Aboy,144908,105,0.04
Aboytes,33735,637,0.24
Abplanalp,28489,788,0.29
Abraha,37266,563,0.21
Abraham,1250,25729,9.54
Abrahamian,36531,578,0.21
Abrahams,11770,2437,0.9
Abrahamsen,26306,873,0.32
Abrahamson,6450,4855,1.8
Abrahamyan,146011,104,0.04
Abrahante,108734,151,0.06
Abrahim,51680,378,0.14
Abrahms,101654,164,0.06
Abrajan,78326,227,0.08
Abram,6140,5136,1.9
Abramczyk,42363,482,0.18
Abramian,79115,224,0.08
Abramo,32703,662,0.25
Abramoff,127948,123,0.05
Abramov,24529,955,0.35
Abramova,85996,202,0.07
Abramovich,42677,478,0.18
Abramovitz,65133,285,0.11
Abramowicz,59147,320,0.12
Abramowitz,13144,2133,0.79
Abramowski,61058,308,0.11
Abrams,1295,24961,9.25
Abramski,75466,238,0.09
Abramsky,116123,139,0.05
Abramson,6296,4981,1.85
Abramyan,54020,358,0.13
Abrantes,38141,546,0.2
Abrao,138741,111,0.04
